is_text,czso_short,kodjaz,akrcis,kodcis,ISO_A2,czso_full,admplod,admnepo,ISO_A3
Afghánistán,Afghánistán,CS,CZEMALFA,1186,AF,Afghánská islámská republika,1900-01-01,9999-09-09,AFG
Alandy,Alandy,CS,CZEMALFA,1186,AX,Provincie Alandy,2004-02-13,9999-09-09,ALA
Albánie,Albánie,CS,CZEMALFA,1186,AL,Albánská republika,1900-01-01,9999-09-09,ALB
Alžírsko,Alžírsko,CS,CZEMALFA,1186,DZ,Alžírská demokratická a lidová republika,1900-01-01,9999-09-09,DZA
Americká Samoa,Americká Samoa,CS,CZEMALFA,1186,AS,Území Americká Samoa,1900-01-01,9999-09-09,ASM
Americké Panenské ostrovy,Americké Panenské ostrovy,CS,CZEMALFA,1186,VI,Americké Panenské ostrovy,1900-01-01,9999-09-09,VIR
Andorra,Andorra,CS,CZEMALFA,1186,AD,Andorrské knížectví,1900-01-01,9999-09-09,AND
Angola,Angola,CS,CZEMALFA,1186,AO,Angolská republika,1900-01-01,9999-09-09,AGO
Anguilla,Anguilla,CS,CZEMALFA,1186,AI,Anguilla,1900-01-01,9999-09-09,AIA
Antarktida,Antarktida,CS,CZEMALFA,1186,AQ,Antarktida,1900-01-01,9999-09-09,ATA
Antigua a Barbuda,Antigua a Barbuda,CS,CZEMALFA,1186,AG,Antigua a Barbuda,1900-01-01,9999-09-09,ATG
Argentina,Argentina,CS,CZEMALFA,1186,AR,Argentinská republika,1900-01-01,9999-09-09,ARG
Arménie,Arménie,CS,CZEMALFA,1186,AM,Arménská republika,1900-01-01,9999-09-09,ARM
Aruba,Aruba,CS,CZEMALFA,1186,AW,Aruba,1900-01-01,9999-09-09,ABW
Austrálie,Austrálie,CS,CZEMALFA,1186,AU,Australské společenství,1900-01-01,9999-09-09,AUS
Ázerbájdžán,Ázerbájdžán,CS,CZEMALFA,1186,AZ,Ázerbájdžánská republika,1900-01-01,9999-09-09,AZE
Bahamy,Bahamy,CS,CZEMALFA,1186,BS,Bahamské společenství,1900-01-01,9999-09-09,BHS
Bahrajn,Bahrajn,CS,CZEMALFA,1186,BH,Království Bahrajn,1900-01-01,9999-09-09,BHR
Bangladéš,Bangladéš,CS,CZEMALFA,1186,BD,Bangladéšská lidová republika,1900-01-01,9999-09-09,BGD
Barbados,Barbados,CS,CZEMALFA,1186,BB,Barbados,1900-01-01,9999-09-09,BRB
Belgie,Belgie,CS,CZEMALFA,1186,BE,Belgické království,1900-01-01,9999-09-09,BEL
Belize,Belize,CS,CZEMALFA,1186,BZ,Belize,1900-01-01,9999-09-09,BLZ
